id,name,category,price_usd,stock,description
1,Running Shoes Alpha,running,119.99,24,Lightweight daily trainer
2,Running Shoes SpeedX,running,149.00,10,Carbon-plated racing shoe
3,Trail Shoes Pro,trail,139.50,12,Aggressive grip for off-road
4,Trail Shoes Ultra,trail,159.00,8,High cushion for long-distance trail running
5,Basketball Shoes Air Dunk,basket,129.90,15,High ankle support for quick moves
6,Basketball Shoes Court Master,basket,109.50,20,Durable shoes for indoor courts
7,Soccer Cleats Striker,soccer,99.00,30,Lightweight cleats for speed
8,Soccer Cleats Defender,soccer,119.00,18,Enhanced grip for defenders
9,Tennis Shoes Ace,tennis,109.00,14,All-court tennis shoes with strong outsole
10,Tennis Shoes Spin Pro,tennis,129.00,12,Lightweight shoes for clay courts
